-2.79576065143033-2.12671860462959e-05i,-0.568321585208012+3.33790736849156e-05i,-0.495368365718801-1.68373774177535e-05i,-0.168621602460111-0.000215212087117644i,-0.340936607911341+2.02790184777512e-05i,0.0758482241486638-0.000145003616167213i,0.0131573657237381+0.000270507989797177i
0.0322241618336989-1.5119893216624e-05i,-0.102953684524534-6.6189941778325e-06i,-0.0472294219511238+7.5406207411681e-06i,-0.161630570576995-8.50713139395549e-05i,-0.0424473495695135+3.71426632335201e-05i,0.109094377635377-3.92350180922438e-05i,0.0912749263415711+9.12532521363929e-05i
-0.00479805972696869+4.24052637150673e-06i,-0.0375414402153936+8.08510384012754e-06i,-0.0194328050424692+4.08969575533257e-08i,0.0233889652946561+2.9865094412744e-05i,0.0588674262418123-1.14627268706554e-05i,0.0458373638140435-1.49653039750323e-06i,-0.0268647419212872-2.53130868014783e-05i
0.00447686381439114-1.08301770797705e-05i,0.0450657138643633+7.97354769879155e-06i,-0.0494341722167021+1.55165550585619e-05i,-0.133127053157923-3.73054766088047e-05i,-0.0327066068027171+1.50548675333005e-05i,0.0355504199364709-2.73464552207281e-05i,-0.0270370898357146+2.78292858324504e-05i
0.0059543241463021-1.69017098898671e-05i,0.15023652053177-2.17542495669359e-05i,0.145074307513774+1.10526905142135e-05i,0.103794103916646-6.01517184085865e-05i,-0.114879589813954+4.68734590027214e-05i,-0.050266997817194+2.78306043858187e-05i,0.283916293902396-1.39816662175273e-05i
-0.0139798827937836+1.40965682633344e-05i,-0.063359435522548-1.04118630869327e-05i,0.0087919675424648-7.66766012367539e-06i,0.0697667469862067+6.88882532596374e-05i,0.0586476675569755-2.16787531912032e-05i,0.0462897537407791+2.04538464408141e-05i,-0.0465110316487366-5.6908919009915e-05i
-0.0190637587603357+1.70175875281156e-05i,-0.0188301602645969-8.20643468118212e-06i,0.0264902028063716-1.09852345310778e-05i,0.00110377370182133+7.56822852633373e-05i,0.0424613925562459-2.95945301590305e-05i,0.105424298186349+6.0768869390689e-06i,-0.109987383076813-4.14011856600261e-05i
-0.0204294739919055+6.59984931367213e-06i,0.221357257931936-3.93977008185104e-06i,0.165664082218375+2.59989824516573e-06i,0.174123972406071+3.20248357012022e-05i,0.145671738802951-1.14179074478727e-05i,0.154732717926003+1.67231861603053e-05i,0.148586144744546-5.16525038580035e-05i
0.0109155038956192+1.66778839272647e-06i,-0.0501085757470553-7.1628615822295e-06i,0.0466597705324623-1.07942345130673e-05i,-0.033898410862984-3.34903598868108e-05i,0.0464668876275863+2.80088634464816e-06i,0.0922223700722845-2.16072307398557e-05i,0.0470154473116909+7.4439506558221e-05i
0.0161413117502473-1.87834727221411e-05i,0.0185422058953678+2.56970489582609e-06i,0.0261170467279445+1.64946358816674e-05i,-0.0452308396369808-6.39172392783612e-05i,-0.0516864026874844+3.88465808684485e-05i,-0.0376641805752716-1.46946679715047e-05i,0.109727781271766+2.60368335832401e-05i
0.0203293933649483-1.09404561351807e-05i,-0.0719701698803844+6.57885949491764e-06i,-0.17062608309986-3.70561950749959e-06i,-0.232479954180583-6.73375050260246e-05i,-0.165223460663971+1.93021246405264e-05i,-0.118951374896781-2.91992103351752e-05i,-0.132146469143384+8.61858970844087e-05i
0.0280156939150629-1.24949640143175e-05i,-0.126210125646495+9.45845390249846e-06i,-0.0852823695479085+5.05274537311778e-07i,-0.121892154125054-3.19888116572934e-05i,-0.118601803383542+2.43243543718543e-05i,-0.103600289003208-1.11647305906038e-05i,-0.0452563699803764+2.20721613626873e-05i
0.0178576063188688-5.36055862598274e-06i,-0.0292228498334872+1.28365457106372e-05i,-0.228704188829071-2.9074799085674e-06i,-0.265068428428231-5.40335687689698e-05i,-0.057751687780075+5.5832845386851e-06i,0.0521455637829728-4.68539449584014e-05i,-0.154533432425962+8.57845181117473e-05i
0.0221081157930833-1.86128100463658e-06i,0.0325214001981381+6.56932734738329e-06i,0.0411636166593811+6.48275840252144e-06i,0.147355797484685+3.94030099681605e-05i,-0.0128614581530769-3.88282248996908e-06i,-0.156757356697099+3.67855589864866e-05i,0.0314564918663349-7.93631459467136e-05i
-0.00883259673013352+7.23543375683092e-07i,0.017411014975635-1.04957949168523e-05i,0.118135083549911+1.00265882506074e-05i,0.198374470382243+4.70857920898224e-05i,0.0143832339262069+2.86138428949419e-06i,-0.106411832667747+4.41904910777574e-05i,0.0932856954530522-9.52134458998002e-05i
0.0115648229791069-5.87490376373487e-06i,-0.05821980913437+6.21129318303034e-06i,-0.0350381741134337-3.37771704464677e-06i,-0.142850261843507-2.83063078209817e-05i,-0.115752683896458+1.05171627599567e-05i,-0.0235218364613113-1.91164701697817e-05i,-0.0612377771535423+4.14802737219763e-05i
0.0105045779056985-5.47566084399059e-06i,-0.11624044386207+1.40695543872009e-06i,-0.016706446385258+7.24234190695697e-06i,-0.0445519049778626-1.99540796555143e-05i,0.0393053330939617+1.29922489154158e-05i,0.0737786481483178-2.05799118183619e-05i,0.0355512584353126+2.50799208858916e-05i
-0.0183734275316803+2.04580248003906e-06i,0.0913299789114644+3.00278896284241e-06i,0.0157045299000366-8.14856186964591e-06i,-0.0232145620515665+1.70101598291471e-06i,-0.0147116942378641-5.23825222276699e-06i,-0.0100867190254429+9.27364421978881e-07i,-0.0415692197004752+3.11847471357974e-06i
0.00517049252292721-7.24751455834818e-06i,-0.079153587609166-4.61688456771848e-06i,-0.0838388303047202-1.63606716203071e-06i,-0.165706033187007-7.99087754472658e-05i,0.0281706186446178+2.15589625557901e-05i,0.135567565175577-4.91195434393365e-05i,0.0214917043869993+0.000117083174961322i
