-2.34617039411535-3.08386133439307e-05i,-0.369178989033607-1.2137461989228e-05i,-0.452686032989412-2.61888280396404e-05i,-0.71330380216479+1.77026953512198e-07i,-0.30562267559621-8.71483604722952e-05i,-0.289763605159157-7.55799752242078e-05i,-0.54876468070434+0.000107254239212416i
0.0055238966087587+2.00616238545911e-06i,-0.0409044520728471+7.81316162170655e-06i,-0.0266134995682874-7.46208878424061e-07i,-0.0756495114157072-3.50333752706018e-05i,-0.0890370665983632+1.63910376484083e-05i,0.0675584648320512-2.04664642871038e-05i,0.0222308384832396+1.97985167744013e-05i
0.0113847166174445+1.11307828282184e-06i,-0.0274395649145418+5.97093746842384e-06i,0.00262277070840302+1.52429547677958e-06i,0.000952464022483318+1.97438102979551e-05i,0.00741984824431631-1.25512364546692e-05i,0.0262969648396444-1.26626475708725e-06i,-0.0245073705827115-1.08324082581121e-05i
0.00671041405536778+3.66309583334464e-06i,-0.0229749106734717+1.56702526454409e-05i,-0.00626668065940464-2.57172266894559e-06i,-0.0902385640983156-4.76456228303767e-05i,-0.00418955497703172+4.78260991321881e-06i,-0.0209043896674527-2.29998868161842e-05i,-0.0292919673385335+3.6933940260003e-05i
-0.0209203625233144+5.26303228738933e-06i,0.105954411191023-3.92587081118974e-06i,0.0597657525221219+3.6938364652613e-06i,0.172189330830393+0.000145495479081557i,-0.251198929216961-2.33372644282596e-05i,0.295135577882217+3.23453553475127e-05i,0.0716942182933118-0.000146920513748082i
0.0166482220167858+7.06906896510139e-07i,-0.0489300846143908-3.94204561504787e-06i,-0.033466767855398-8.06153739663692e-07i,0.123464848039248+0.000152398473195744i,-0.0939811123231584-4.32869455782026e-05i,0.106588498310776+3.76420485078744e-05i,-0.0704616300917458-0.000113914462383143i
0.0280450189242875-4.49075951257035e-07i,-0.0189799332545003+2.73092207191744e-06i,-0.0376338782027658-1.19430387584191e-06i,0.0861521712547158+0.000182643061915097i,-0.16588836090473-5.57466193721599e-05i,0.144657412722173+3.93903104832344e-05i,-0.12351862187119-0.000132441547708546i
0.0570629641167815+7.31158057446975e-06i,0.125640610600408+1.06921135162644e-05i,0.0368842809077604+3.64981658935704e-07i,0.0109357199169237+6.75223188020457e-05i,0.0781186571252663-2.56564369230635e-05i,0.305912694490669-1.65028798886943e-05i,-0.0452631049615981-2.11784613022932e-05i
0.0211444593496939-2.52105886008272e-06i,-0.00271829816313548-1.08253142670471e-05i,0.0737106326460659-1.45964402975096e-05i,-0.101695672766133-4.8488514730676e-05i,0.0428101700571454+2.32951352308276e-05i,0.0307761615980963-1.44544480568712e-05i,-0.0128275550452922+7.6562223329818e-05i
-0.0158565143302331+3.46604104942765e-06i,0.0364138243329482+1.13368254767144e-05i,0.0492133338590421+4.24722186911602e-07i,-0.0687861751489232-0.000102799674646016i,0.0379352141366238+2.61258355621812e-05i,-0.0371101713484031-3.02274292670712e-05i,0.0642278982405658+6.48353717729708e-05i
-0.0432925585448752-6.21925868890058e-06i,-0.0653283824239439-1.02535796095337e-05i,-0.0539981198160505-2.1204869392112e-06i,-0.0583605101794421-7.44422638532005e-05i,-0.0954310684767691+2.9387700938812e-05i,-0.246801657183777+7.5353548769521e-06i,0.0254423833785118+3.46257029888943e-05i
-0.0337765470912088-2.21900159178226e-06i,-0.0829548618983941+8.37957561753379e-06i,-0.0160062474683925+9.82288405137632e-06i,0.00920162316295472-4.84481980624433e-05i,-0.1001722327539+1.76713019917473e-05i,-0.151361251933849-4.82211211212528e-07i,0.0708465724326652-8.28248423079992e-06i
0.00769525515676073-2.5266088625458e-06i,-0.0678349382259699+1.2542578978832e-06i,-0.11786984700384-1.59577421124872e-06i,-0.0973474983329727-3.07527233500181e-05i,-0.093707947269975+6.73725706414497e-06i,-0.121866834157731-2.00111021283363e-06i,-0.0563115595269743+1.88041111878967e-05i
-0.00293170262368159-1.13544880642051e-06i,0.000910894069941159-2.91391334304934e-06i,0.0619331688448405+4.04054335724064e-06i,0.0883099241001528-5.19635312399393e-05i,0.0695521113432665+2.05323051713065e-05i,-0.108543813692208+5.32358905266261e-06i,0.10757053722559+1.70246990225628e-05i
-0.016273887243196+3.1126274839179e-06i,0.045161310440253+1.81581824608638e-06i,0.0509315407099588+6.17400748180874e-06i,0.127864378165114+3.530860025584e-05i,0.0504333898120809-1.22602704252253e-05i,0.0241572732918678+1.19661130190405e-05i,0.0512668334316214-4.56890900094844e-05i
-0.0198446392090778-2.8062072798681e-06i,-0.0604877910259795+8.79827303189802e-07i,0.0088371190420726-2.77093063273895e-06i,-0.0111990339756747+1.59054699695281e-05i,-0.156282115206921+3.06712527274278e-06i,-0.0438335368452322+1.07994499386161e-05i,0.000675779883346242-2.83057881305375e-05i
0.00424682020688916+1.9760946285382e-06i,-0.0341346330317125+1.19205497049129e-05i,-0.0210880241660744+3.28261475024686e-06i,-0.0718150778609728-7.23841979250951e-05i,0.0743975936696547+1.46638921164774e-05i,-0.0125860070783167-2.93414291273989e-05i,0.0231170247581533+5.5524569336204e-05i
0.00120136469301925-4.75424335163301e-07i,0.00879777551689443+6.05423521402879e-06i,0.0174027815733603+1.65717968201558e-06i,-0.0123291390383381+3.44127137986621e-05i,-0.040987758699885-1.27946073831542e-05i,0.0336223157101225+1.20336246043937e-06i,-0.0453486563880311-2.2789743470463e-05i
0.00870944779019231+3.68960948754736e-07i,0.00802121131798748+4.53839223655339e-07i,-0.0687816831431671-3.6637941497761e-06i,-0.167931055802921-8.77604766836911e-05i,0.0490239715035687+2.17118463658688e-05i,-0.00572658714561363-3.26284923898498e-05i,-0.0316543882514566+8.8754920269133e-05i
0.0259110112353674+1.0496300305906e-06i,-0.0212736914491734+1.5015848033947e-05i,0.0266087308502725-1.10963576860713e-06i,-0.0842961203283305-5.67873149056821e-05i,0.0665115508332542+6.59985614426314e-06i,-0.0300550194755112-2.46558286417433e-05i,-0.0241637959619988+5.43047305829542e-05i
0.0181475266118708+3.23826096344538e-06i,0.0341293568016926+9.988046673844e-06i,-0.0302033087077268+3.07397852874183e-06i,0.020438693763116-5.0774965611895e-06i,0.0307906188659842-5.93537023164136e-06i,0.0130515336820342-4.68183843711552e-06i,0.00926964450896151-6.2398893251441e-06i
-0.018016682164123+1.15704254921692e-06i,-0.0423585735961361+7.31065743406097e-06i,0.0227137000220953+3.74099797012673e-06i,0.0499724301567451-2.81016834379862e-05i,-0.0749045528523374+2.0322778557392e-05i,0.0320399092918401-5.85525424631079e-06i,0.11719191221998-1.28072610921415e-05i
0.0155206246760669+3.5119528929416e-06i,0.0330126421869553+7.76099372729519e-06i,-0.00616898183905406+3.37400760868733e-06i,0.0172156307725707+3.54562043227535e-05i,0.0585688801359503-1.85428577991783e-05i,0.113204616216124-7.06131382198229e-06i,-0.0219971384796421-1.73156926552943e-05i
-0.0155653621273937-1.4654007294662e-06i,-0.00291607165807901-7.91729264029074e-06i,-0.00644444810707392+2.11118715583633e-06i,0.0283169283470913-1.49148224104805e-06i,0.0136384046194899-2.32945425589757e-07i,-0.0827067893830053+1.09130302041596e-05i,0.00553661190821418-3.99671882220842e-06i
