-2.13993881014086-9.79645175323749e-05i,0.345835365866605+6.44481719812962e-06i,0.370482810871272+1.95143661073109e-06i,0.340609433652121-8.61586839501585e-06i,0.352604841521735+1.4809936528795e-05i,0.109863854549759+0.000143309001933042i,0.197123402781918-5.67204559206091e-05i
0.00242371237444224+9.79068798824885e-07i,0.0304872686397312-8.57851738020552e-06i,0.0305392690726437+6.40636181932553e-06i,0.0977588682540763+5.52787278543534e-05i,0.0706550590101834-1.01997565537763e-05i,-0.0655660599272683+2.39631745354888e-05i,-0.00430097628202817-4.14879107493881e-05i
0.0076010154269556+8.54085171735869e-07i,0.0296131803147435-8.53683032597511e-06i,-0.0104130210035699+2.38294088825972e-07i,0.0118789619812586-1.21225217888621e-05i,-0.00994836386706767+1.00671410238766e-05i,-0.0325787717829405+3.11875404644107e-06i,0.0236054834865685+2.45139511174255e-06i
-0.0025747477129477+8.47070509045342e-07i,0.0389707989932292-2.06449017108858e-05i,0.0197997678031282+1.05465825910022e-05i,0.0920980834748261+4.4007690265062e-05i,0.0127785921699231+9.05757628454756e-06i,-0.0075276500461926+1.92398331566875e-05i,0.0554472113761426-4.25819965659706e-05i
0.0224518223261404+1.01114169302435e-05i,-0.110619240447209+8.94546364344943e-06i,-0.114396178728634-2.7238092854647e-06i,-0.125631851174961-3.91278861130477e-05i,0.144144973448081-1.96401436230652e-05i,-0.157869148790664-1.34155400448884e-05i,-0.167010535851598+7.6836897671774e-05i
0.0159732621254538+7.24611066967297e-06i,0.0526438071264845+3.02978896583405e-06i,0.0173335877437872-1.13856244062574e-06i,-0.0791798997597284-0.000117028353009796i,0.0469282227952925+1.83345612740647e-05i,-0.0637271086349232-2.88918454721508e-05i,0.0469578174539958+8.51537197010452e-05i
0.0200050414148309+6.64086014254927e-06i,0.0143201207732795-4.22421179104597e-06i,0.038192127057596+6.75592273664608e-07i,-0.0123250548067828-0.000123169087447115i,0.105336356192381+2.23282421891256e-05i,-0.104646400607971-2.18040167989253e-05i,0.0953645120887001+7.98233573506027e-05i
0.104117395071063+6.82077090683112e-06i,-0.121347486832197-1.12066449111405e-05i,-0.0436674712517184-8.93749458477618e-07i,0.0227687223637912-3.27842160545565e-05i,-0.10591448729184+1.66804294250921e-05i,-0.260087302780017+1.47677854527486e-05i,0.00970891420733983-6.73337259316149e-07i
0.0133908341475089-1.19814064907189e-06i,-0.0242651870846351+2.2317818145289e-05i,-0.0646813656051791+1.05898812085223e-05i,0.097338672764311+2.60561864009628e-05i,-0.024455852343994-1.85300920091091e-05i,-0.0498415505673375+1.25373384250778e-05i,0.0291405139560714-6.30754888522616e-05i
-0.00975850036126432-2.31762537957089e-06i,-0.0437729346014015-1.39996804317636e-05i,-0.0464072838504225+3.0027846314306e-06i,0.0348735382121063+8.90830982633026e-05i,-0.0179516258901955-6.84897715763248e-06i,0.0287087053821312+2.05789276159675e-05i,-0.0512882335338807-5.17014039495456e-05i
-0.0624450697393607-4.2131176997548e-06i,0.0839222065180401+1.26496439735482e-05i,0.0824586243507881+3.37470604456239e-06i,0.0519485769505477+5.19026669342127e-05i,0.128530041340485-1.82588781137913e-05i,0.208794601287029-4.23699719113168e-06i,0.0265927097571937-2.62319178446543e-05i
-0.0447891122979553-3.15735652378772e-06i,0.0865861868576905-1.56904350037687e-05i,0.0204409967703142-7.13484199528604e-06i,-0.0115103266419363+5.5941095125644e-05i,0.107528068038308-8.56856015928171e-06i,0.142464811497372+4.03461807178322e-06i,-0.0509177283401482+3.51066156639324e-06i
-0.0234945085768043-1.94990872857406e-07i,0.0916162048333755-1.28570675320233e-06i,0.142728879065844+8.99732005719949e-06i,0.12910117330522+2.23566070917063e-05i,0.10310676375315+4.9730229801172e-06i,0.0695895094051898+7.03076274539142e-06i,0.116949797760718-3.21848531244138e-05i
-0.0103308273366156-1.15223541966442e-06i,-0.00525074780738298+4.72743047597737e-06i,-0.0953199190959202-3.94697705860354e-06i,-0.128064094470689+3.48914470694337e-05i,-0.0578945732262409-1.20617648148056e-05i,0.103480656524187-1.28913592463108e-05i,-0.130845123738329+4.94999301438419e-06i
0.00242771041110409+1.777355816922e-06i,-0.0552818532725399-7.2105067002191e-06i,-0.0716215967087403-9.87501275437204e-06i,-0.15926994248554-3.12071689063841e-05i,-0.0611138904271802+7.01930254427583e-06i,0.0185111218462289-1.83612182865369e-05i,-0.0916548000091605+5.85387284054518e-05i
-0.026286678338456-2.39993022492786e-07i,0.0640204798802569+1.10451938894928e-07i,0.00487159691219993+5.74714016996154e-06i,0.0394159975275977+1.3305033587178e-05i,0.139311666303605-1.31971899399938e-05i,0.0507107802894954+1.30858183152233e-06i,0.00252666641097414+4.11762744840229e-07i
0.00284441077722411-3.06337560523421e-06i,0.024940443649991-1.73215910097167e-05i,0.031602005506214+7.01997454236571e-07i,0.0591222804744732+5.81435918887049e-05i,-0.0536088571259888+2.14572301646751e-06i,-0.0169187692635259+2.28470974140768e-05i,-0.00196763837105249-4.509178237337e-05i
0.00300597897569755+1.99140842256547e-07i,0.00789378739983561-8.53798981736717e-06i,-0.0116943520815551-4.57230815605125e-06i,0.0242237078316854-2.0830712054623e-05i,0.030222510679648+6.97617578243851e-06i,-0.0262892872934022+3.7237417030075e-06i,0.0377945956043465+1.36646877661269e-05i
0.00300018610558827-3.70375091413015e-06i,-0.0165777087512826+1.06022393014872e-06i,0.102635561227643+4.29423412420086e-06i,0.164876146417971+5.75715753884998e-05i,-0.0159786103339413-1.70103692755606e-06i,-0.0331484252325101+2.73942448179926e-05i,0.0863897424040533-7.38765643155989e-05i
0.0084077775677255-2.66781603853029e-06i,0.0142614351636494-1.92329918949924e-05i,-0.0180365338986364+4.27494657314997e-06i,0.0786698192592021+3.84644737168086e-05i,-0.0427026041524796+9.32303629109038e-06i,-0.0107156519694978+1.91636132203525e-05i,0.0452891614908747-4.52217388128509e-05i
0.0138818582756046+1.36368703833798e-06i,-0.0305802582013932-1.25839041185274e-05i,0.01672753476867+3.36115110046851e-06i,-0.0158470417899403+1.00192549589349e-05i,-0.0364696305041883+1.01133567285489e-05i,-0.0222315500386742+2.22304437622418e-06i,-0.0135490422138056-1.13919146399017e-06i
-0.00516104574124852+1.45271058161659e-07i,0.0342590157032287-8.7422183415558e-06i,-0.0405993375543069+1.49398633384125e-06i,-0.0490935740281338+6.09551382954577e-05i,0.0461476548791491-2.18011275521779e-05i,-0.000945073678353922+9.57468726774103e-06i,-0.143794077906129-6.48880949017749e-06i
0.027441375219132+1.01974848984922e-06i,-0.0348341403594511-1.17369385267929e-05i,-0.00339256075514143-2.28850039453913e-06i,-0.0134451874320067-2.48438507725612e-05i,-0.069283471650788+1.23845468874133e-05i,-0.0998600549843208+6.2893655121025e-06i,-0.00036012412094114+1.27773594776143e-05i
-0.0171335157277382-6.75524490667274e-07i,0.00676434404079224+8.06081743071259e-06i,0.00489429894749935-4.1263122791975e-06i,-0.0435819107986382-1.49330894180762e-05i,0.00276534940711989+1.13522160597892e-06i,0.0823995630111561-1.35074439538294e-05i,0.00187188303532052+1.88122110555182e-05i
0.000216528039128652-1.52036848989222e-08i,0.0172539509830023+2.25277804659068e-06i,-0.0241366319461119+1.64703818948869e-06i,-0.0214446616060312-1.25145761999457e-05i,-0.0120911665872399-1.21616073934494e-07i,0.00113975155657904-3.57046088952238e-06i,-0.00751221091563736+6.006955324633e-06i
0.00705975539128745-8.74699093506569e-07i,-0.0210615791952153+9.67947664108793e-06i,0.0219386291275899+2.11001758858887e-06i,0.0555453438698236+3.35925692564728e-05i,0.0347582435726103-1.27220144646089e-05i,-0.0228306203650395+7.82376362219186e-06i,-0.0137970612420152-3.29535267855761e-05i
0.00875886667518067-5.56485519640142e-07i,-0.0168610803733873-1.79095203605152e-05i,-0.0240652817574217+9.08202105635912e-07i,0.0386313235275318+7.24680233506169e-05i,-0.0591752604658957+4.14252633876142e-06i,-0.0239482963016864+2.25448752763837e-05i,-0.0307684547032057-4.7805334965481e-05i
-0.00342820091589025+1.60126862981028e-06i,-0.0561413376199242+1.5876665120413e-05i,-0.009204986527521+2.54993633858196e-06i,-0.0176973734108276-4.12272999980264e-06i,0.0289612048891299-1.20374685329076e-05i,-0.00559446377855272-8.2497048854066e-06i,-0.0244437982351484+3.86533267512083e-06i
-0.00988445020349323+6.49378131532926e-07i,-0.0417820012586574+8.49406441523058e-07i,0.00932661433330521+1.04417951447388e-05i,0.0228434236020279+5.57989704177703e-05i,0.0304314522103445-1.36778038937294e-05i,0.0287333464020521+4.59256647637261e-06i,-0.03236562806009-3.61415392378143e-05i
-0.00844130340383506-8.37148975861695e-07i,-0.0228160758496775-6.11004806936217e-06i,-0.0233627003999761+4.39333951697362e-06i,0.000270680811494844+4.31311241992776e-05i,0.0190270301192612-8.41042352176795e-06i,0.0238289221134108+7.3457239327067e-06i,-0.0485107137578982-1.70548793725579e-05i
0.00126335573600005+1.80379597027962e-06i,-0.0232737113196219-5.95419299712038e-06i,0.0216085018641704+1.61065885044643e-06i,-0.0169206248489113-3.4485227268395e-05i,-0.0148851393589209+1.41292756069601e-05i,-0.0137436667979472-7.894119310814e-06i,0.0410673643173682+2.14746766617857e-05i
-0.00655689689798359+3.13270467990821e-07i,0.00026624896505267-6.02324001986775e-06i,0.0311581888183328+8.62329744258951e-06i,0.0109991791652291+1.36846163531878e-05i,0.000150704046668225+3.06513471649513e-06i,0.0212797576027959+2.3847195036617e-06i,0.0104046699570057-9.07318137941123e-06i
-0.00746928103397767-1.20780950811109e-06i,0.045864146227628+5.68025818828905e-06i,0.00292713879296037+6.84880915517563e-07i,-0.0335293062686935+1.61732978199379e-05i,-0.0368091710628-9.85867522650502e-06i,0.0313790244430262-1.95282010473165e-07i,-0.0451519922822568-5.95009725056516e-06i
