-2.18228033444524-0.000189765909257872i,0.0680381430749571-2.04800546620285e-05i,0.139667153903084-1.13312031165747e-05i,0.153997711026804-0.000225338162798416i,0.0308973580033322+0.000165288470981192i,0.184878533542512-0.000154684255289685i,0.392714113395943+6.39740369658562e-05i
0.00112132883137176-1.05469367382195e-05i,0.0010650505741335-1.87330834583571e-05i,0.0426162518749561+4.50213790461647e-06i,-0.0385335038750517-2.20252786212952e-05i,0.0515711891153385-1.16791727166585e-05i,-0.00636916740842263+2.54948916966962e-05i,0.079348614655197+8.85305097889608e-06i
0.00281738908440259+1.44991431020297e-06i,-0.00778222585704233+3.87008737267461e-06i,-0.0109986212216349+7.90237867065718e-06i,0.0383531309903089+3.78739781476095e-05i,0.0389156652269388-1.22265398257384e-05i,-0.0134903125377751+1.94266522865847e-05i,-0.0120726133812272-4.28263619233464e-05i
-0.00566443999666174-7.86209277289548e-06i,0.072816631709895-8.5900179647642e-06i,0.0174872385642391+1.22535194863988e-05i,-0.0219207133641142-1.5611689357029e-05i,0.0413508772741508-6.83599922818962e-07i,0.000313277641648008+1.62997261107405e-05i,0.0538107009357155-9.59521963145504e-06i
0.0205933147655975+5.93547102112354e-06i,-0.00733124907447529+5.58940678350429e-07i,-0.0766624703329087+2.35283796819189e-05i,0.00619066504858794+5.45392063178311e-05i,-0.163295622637952-2.6402393809246e-05i,-0.0947207121942812+3.14656291989337e-05i,-0.0482142317611045-6.13542255535099e-05i
-0.00219210553617736+4.77718740607265e-06i,-0.0358062454040609+1.23753296427486e-05i,-0.00458692296161692+7.72404506760465e-06i,0.0294314505707558+1.11480128631807e-05i,0.00193438678621502-1.00659643254277e-05i,-0.00366879566709907-7.57345869917807e-06i,-0.0331204572710453-2.01461308213928e-05i
-0.0140778511692704+7.00499688047688e-06i,0.0149513696663097+1.09379205708665e-05i,0.0530185818283101+1.80189491749242e-05i,0.0431909495114755+6.68950171832406e-05i,0.00887526550042808-2.37253404325198e-05i,-0.00824265951631898+6.99034677465933e-06i,-0.0753783963210598-6.52911268341845e-05i
0.136608622631749+2.73918154118024e-05i,0.0711581672625181+6.64278059407929e-06i,0.08196144725214+2.88892225984441e-05i,0.174191950186068+0.000150356915849924i,-0.0125379116307628-4.07264468792735e-05i,-0.141821983283477+7.14146479716578e-05i,-0.0508559189995116-0.000151522650559281i
0.0209692927552931+1.0385477615973e-05i,-0.0118411495908823-3.93846106610936e-06i,0.0584410568434102-5.02488301821247e-06i,0.0433636676380363+2.90994415939567e-05i,0.0539621026999836-1.12168466450399e-05i,-0.0339618662845906+2.08723471513004e-05i,0.010520513810394-3.72440493914255e-06i
0.00648105938996935-6.83160846411714e-06i,0.00403871386731804-1.21104152089226e-05i,-0.00428924481768825+1.6578512519564e-06i,-0.0403480429249285-2.48645026142312e-05i,-0.00690410674369393+9.35840318780601e-06i,-0.0272287753990015+1.44297479304096e-05i,0.0491345730920934+1.24652929059597e-05i
-0.0978272013284601-2.60696483100002e-05i,0.0264874590105432-1.13616234129507e-05i,-0.0551916939674731-2.93986405288414e-05i,-0.172311046658001-0.000151633748062363i,0.0114964498853818+3.6404111886428e-05i,0.116442578626193-6.28402892910862e-05i,0.0712571497367386+0.000147654457492972i
