-2.11442210357853-0.000225047630814306i,-0.197938618492532+3.60276553714777e-05i,-0.184186881771481+1.84506977350263e-05i,-0.138840861592733+9.9630959405418e-05i,-0.150691043224436-2.89071273224749e-05i,-0.127848771467682-4.95043195651037e-07i,-0.177572061831877-5.87200809321298e-06i
-0.00760678579009405+7.53632875088848e-06i,-0.0173390444823889+7.77560605260079e-06i,-0.0448679469499308-2.07575595328811e-05i,-0.0670551979063532-6.40840758120328e-05i,-0.0634113894779265+3.02469126482154e-05i,0.0555297699745978-4.66002084367983e-05i,-0.00745808600964741+4.59283401163107e-05i
0.0019761951778116+3.68553916119212e-06i,-0.0167350611436261+2.32714227302746e-06i,0.018812353121812-7.3759284270039e-06i,-0.0140151805875907-9.02169053653847e-07i,0.002451385438762+3.41317644499881e-07i,0.0337464750376517-8.92467308267426e-06i,-0.0081622620423124+5.78162702780542e-06i
-0.00827563490499483+6.39335360378244e-06i,-0.0559415548460948+1.52900920187094e-05i,-0.0206901547746536-1.61682599915287e-05i,-0.0750588963723854-5.36320520280725e-05i,-0.0191121520542165+1.57320998066961e-06i,0.00905799681079708-3.33402270335874e-05i,-0.0489533575381397+5.09002116157954e-05i
0.0209816547118172+7.85889171587578e-06i,0.0887043617537-1.39559935011168e-05i,0.110035546692499-2.48753196641308e-05i,0.136415036641595+3.06185711662224e-05i,-0.0426438746502055+4.80377962851128e-05i,0.134140148751147+8.66636979878027e-07i,0.167326512192132-5.72936696342311e-05i
-0.00358474886111653-4.00375611667204e-06i,-0.0212315809772574-1.04295170552525e-05i,0.00291624957725686-5.50849837213968e-06i,0.0789624243308673+0.000132297033332857i,-0.0275146302638558-1.57733067927409e-06i,0.0569562167058218+3.96674531381133e-05i,-0.017241384253914-9.05260033554159e-05i
-0.00756922808188261+8.8729314309803e-07i,-0.00721767475072523-9.24417126829371e-06i,-0.0327878205242003-2.0314877910033e-05i,0.0337314398017348+0.000103297827163432i,-0.0588481074150649+9.58068478460359e-06i,0.096853215788089+2.26939780697117e-05i,-0.0203206893592787-6.8231578876906e-05i
0.14114012800492+3.27500507662544e-05i,0.0448546962761277-3.97956220954996e-06i,0.00129331425895085-3.03806891293093e-05i,-0.0465911371082538-9.11240841882063e-06i,0.100881808301121+2.03735868720443e-06i,0.217887596481738-2.28726002752066e-05i,0.00669202588164712+1.68677265413528e-05i
0.0150121920021082+1.06334607587965e-05i,0.0448748291067073-2.85712106608732e-05i,0.0174640000899359-9.43826663542028e-06i,-0.0873783504245648-5.3772882937908e-05i,0.0101050722978055+2.0614153284783e-05i,0.0504631564811846-2.58018693218889e-05i,-0.0224653607989452+5.66178461728608e-05i
0.00460278976107078+5.62198342523792e-06i,0.0338990317207147+1.56135407798747e-05i,0.0249316552086465-6.45032265556922e-07i,-0.031154093907911-8.48768235795676e-05i,0.00872067674820553+1.0412526806359e-07i,-0.0213236793834693-3.1777094766733e-05i,0.0165172800559532+5.43186582659263e-05i
-0.1040387846851-2.38738239329294e-05i,-0.0626863365257541+1.48932912798698e-06i,-0.0423990279523774+2.32026264477338e-05i,-0.00929999179417285-1.91267689201194e-05i,-0.108980305539405+5.39884678837424e-06i,-0.17421632717815+5.12031201424124e-06i,-0.0315870671134+1.00088157658757e-05i
-0.0485198205974942-1.60476636690551e-05i,-0.0452079263299761+2.87033623929547e-05i,-0.00112780933741573+2.10443231065995e-05i,0.0257531082355984-1.73779823688652e-05i,-0.110032158951884+2.85828959303665e-06i,-0.131297695967199-5.89183480047548e-06i,0.00916240650576217-1.26209460869991e-05i
-0.0422067791615591-5.30407018170154e-06i,-0.115782328193582+3.5093940556296e-06i,-0.111666429966492-3.23819992688171e-06i,-0.0911676588548571-1.02840887981471e-05i,-0.114137007970916+4.69551917396665e-06i,-0.0574508429354485-1.80736426250109e-05i,-0.104003689711812+2.54027961152469e-05i
0.0117558955765828-4.33069108171645e-06i,0.019963402816244-2.44717942509497e-06i,0.104622524530321+1.79563339332092e-05i,0.0864990731033098-1.81693344153962e-05i,0.0311451683363052-1.08909351428063e-05i,-0.0859654738831306+1.68668076144693e-05i,0.084777314788191-6.34957934472475e-06i
0.0166745058055932-4.12232173509179e-06i,0.0744185328008498+1.11230184599374e-05i,0.0684768931395284+1.40348035934761e-05i,0.12877822463082+5.53192199474989e-05i,0.0676409952969682-2.30086881221972e-05i,-0.0174646303186543+3.69064209608198e-05i,0.0673690380279737-6.05019771617237e-05i
-0.0320306647678412-7.58821240028567e-06i,-0.0435962990923514+2.38962647768915e-06i,-0.0117205064684278-4.35847643395012e-06i,-0.0154535596193662-1.0992529459808e-05i,-0.111394148433017+2.62714574609624e-05i,-0.0594866841993089-1.19461828480964e-05i,-0.00359380117525814+2.03607132379506e-06i
0.00284728266321993+4.88328624061321e-06i,-0.00517820295299078+1.83960310994856e-05i,-0.0389278706734319-6.04050081058907e-06i,-0.056378998295328-6.61228273614679e-05i,0.0253920707723857-2.71923506887481e-06i,0.0143740543359348-2.95207402668195e-05i,-0.0127167255006045+5.06028155524745e-05i
-0.00280834113158152+2.88478705117774e-07i,-0.0255109399665129+7.18004224903869e-06i,0.0143419401099346+2.90547497970521e-06i,-0.0112150407089679+1.45968820047267e-05i,-0.0132338925898414+7.43846073162988e-07i,0.0262272285611939-4.03037343962365e-06i,-0.0127514169070528-1.3725364307081e-05i
-0.00430304183640372+6.51102212852283e-06i,-0.000506623381046921+2.9427662831347e-06i,-0.116216311861851-4.56889318348718e-06i,-0.134037293075058-6.46675089535963e-05i,-0.00603117349603237+1.52903654994676e-06i,0.0326213176484484-3.49589457415254e-05i,-0.0854955298324962+6.4455002545426e-05i
0.00855279354406174+7.94350992217524e-06i,-0.0121947871530761+1.19581007645508e-05i,0.00178014117992146-8.82317691746563e-06i,-0.076163567996379-5.86427152163837e-05i,0.0122567298228892-6.76797011124947e-06i,0.0202100784803863-2.87916566569941e-05i,-0.0353885234562359+5.40111623711223e-05i
0.0140008378283163+6.55665862085474e-06i,-0.00159474217755906+4.73895401227085e-06i,-0.00248703513562531-1.35774895673495e-05i,0.00466847597501738-2.56469088816043e-05i,0.0295146173565962-7.84409444797519e-06i,0.0300163055193188-6.99630285397517e-06i,0.0227418634015286+2.10045289824828e-05i
0.00250738672137845-1.242008035471e-06i,-0.0023454562001915+1.06874977730461e-05i,0.0332953808546239-7.93612999523254e-06i,0.0449806351870466-4.81482380375718e-05i,-0.0336371229732894+2.54626746323e-05i,-0.0144994521674617-1.77646647132427e-05i,0.0927280433526243+1.15444939894261e-05i
0.0243051210232535+8.58222878294499e-06i,0.0247748682458478+4.93789135574667e-06i,0.00597280468580409-1.43267890480729e-05i,0.00264175882810362-1.34425486193499e-06i,0.0736833660154432-4.26125199730497e-06i,0.089885811846475-4.75225091359214e-06i,0.0229350711745501+3.60378563050029e-06i
-0.0123052028135781-9.34234957730057e-06i,0.0037459530310486-1.2693880384256e-07i,0.00905390774361017+1.77614565356393e-05i,0.0355249921661133+4.30975905244585e-05i,-0.0120364704547952-1.46451384583055e-05i,-0.0747530065336669+2.49527632071116e-05i,-0.0176930874128287-3.4104232651247e-05i
0.00205437458923555-2.08562403468156e-06i,0.00977340544612886-4.30495517371334e-06i,0.016711704743514-1.38027973287963e-06i,0.0118733112719163+1.35315744321688e-05i,0.00929311610973066-6.17192372309707e-07i,-0.00891701246026816+8.29999252563558e-06i,0.00500598130958705-4.83586904633519e-06i
0.00449681691373671+5.18867536851795e-06i,-0.0139616800473193-1.27150571008604e-05i,-0.022513937211241-6.55033032029203e-06i,-0.0426801911081011-5.4075367399821e-05i,-0.0265971830999488+1.61766983997636e-05i,0.0253963639118605-1.92448945851997e-05i,0.0240249963173256+3.96471941711202e-05i
0.0143049653083033+1.21856315059517e-05i,0.00536420455056417+1.27667737701787e-05i,0.0266943291377014-9.10269399806415e-06i,-0.0447159088918827-8.91696110530981e-05i,0.0285966034244653-3.25326804035097e-06i,0.0387798046334208-3.98254076123842e-05i,0.0149577231536245+6.32136432588518e-05i
-0.0017237231928416+1.96488265875526e-06i,0.0431690753475058-1.8048636985778e-05i,-0.0114591457853621-1.36652673134802e-06i,0.0272624215005884-3.58150201829112e-06i,-0.00327957919685071+1.27482530191252e-05i,0.00726599669818824+3.9141588313092e-06i,0.027344319552858+5.72233630764311e-07i
-0.00491982986566548+4.38479700353149e-06i,0.0093013300825181-1.72772504072969e-06i,-0.0296125182022836-9.74433770343437e-06i,-0.00833324955076275-5.9531665525989e-05i,-0.017728803941703+1.22543560262805e-05i,-0.020112003987055-1.8204878464087e-05i,0.0186337264812403+4.25975401547751e-05i
-0.000557094150561551+5.36347095946851e-07i,0.00975236187239442+8.79265869664665e-06i,0.0191927457877543-5.32028492460952e-06i,-0.000830499952399566-4.09088638462168e-05i,-0.0109264355885765+6.60536510642208e-06i,-0.0257817723719009-1.42809563005963e-05i,0.0266872941385939+2.29547579115147e-05i
-0.000866765047800873+3.74397392258212e-07i,0.00685019317803947-2.16571953348926e-07i,-0.0242765297610578-4.89232474148263e-06i,0.0158977792311913+2.98874889007269e-05i,0.0298101826315571-1.14027899147212e-05i,0.00904392930295172+1.41635792707956e-05i,-0.0196653455902985-1.31226537053273e-05i
-0.00476026200282056-1.685310296184e-06i,-0.0111223606489505+7.33659004178932e-06i,-0.0194954412625241-1.01942913050381e-05i,-0.0131445211299769-8.57096798416337e-07i,0.00136591395850363-3.93122884220662e-06i,-0.0299789231146519-4.29823562214408e-07i,-0.0237513434788043+9.48116560046258e-06i
-0.0018263814108846-4.77932013761404e-06i,-0.0176170714773123+6.19261002820484e-07i,0.00778938100517452+4.46896902778837e-06i,0.0170143114957013-1.61536793179686e-06i,0.0194199429863071+2.08244473831758e-06i,-0.0392732001950436+4.07716516357376e-06i,0.0126468679925353-8.83796216858343e-07i
-0.0043996410800082-4.23877889493134e-06i,-0.00732655233540491+1.77676770168649e-05i,-0.0253755222135947+5.84486371555865e-06i,0.0130672846057945+3.74730585062278e-05i,-0.00357517835012631-1.85464843689395e-05i,-0.00803890619892254+1.18281058697545e-05i,-0.0275721197369931-2.89773063228283e-05i
0.0107094712073226+4.27680711254506e-06i,0.014363168377743+5.38138139557729e-07i,0.00692612071116778+2.69404671371852e-07i,0.0369156251596662+8.4913771754697e-06i,0.0226559973472295-1.06753397915482e-05i,0.026028588416255+5.93588125870938e-06i,0.0175887089040483-9.62283845935968e-06i
-0.000165835587182198+1.97434458158914e-06i,-0.00199327485059338+9.4496057553621e-06i,-0.000215667516295014-6.96225524426626e-06i,0.0323856255741399+3.47973695910492e-05i,-0.033401592221098-1.24627362422978e-06i,0.0503129234531982+3.56808120472458e-06i,0.00716165303460213-3.2137974148476e-05i
-0.011256132472969-5.05953402326637e-06i,0.011189559927439-6.01902992848314e-06i,-0.00469274510039597+6.03290174350332e-06i,0.0296468583119833+5.9388816039658e-05i,-0.0648811099781036+6.12147075405654e-06i,0.0107277644631401+1.68595454103635e-05i,-0.00181767073780446-4.95077405623746e-05i
