-2.12672131051402-0.000302604338901232i,0.0548232848794493-2.47892559100748e-05i,0.0363713879769321-2.17909170140061e-05i,0.0189760645507394-0.000171124124432197i,0.0692237220980645+1.87281871101731e-05i,0.0799331145655029-5.37482295773731e-05i,0.0781807341946368+9.11110848343653e-05i
-0.0124735484955692+9.8033051533393e-06i,0.0294599513007792+3.0548376808979e-05i,0.0613470940245117+4.68031661911944e-05i,0.0207286367851921+6.88364756257955e-05i,0.0376086993116291-6.38109060567236e-05i,-0.0543574764145362+9.13451803225515e-05i,-0.0149981198294275-6.40929514459394e-05i
-0.00273913674463083+7.091513736473e-06i,-0.0157307823885107+1.1026335661916e-05i,-0.0149003024404933+2.16924481957793e-05i,0.0311267300258851+4.3549074578971e-05i,0.010299964253251-1.35723046735951e-05i,-0.0154714976468895+2.83383376009263e-05i,-0.0278568501043216-2.67998089224703e-05i
-0.00887777864161456+6.10917483703546e-06i,0.0424410118806071+1.03203464419809e-05i,0.0256431049655388+1.86095181219605e-05i,0.0372062455431752+4.83073274657813e-05i,0.0338025697077741-1.92964316916681e-05i,-0.0217234067224214+5.12352278817664e-05i,0.0218179915539801-4.4311510891941e-05i
0.0195371377731305+4.66686983367003e-06i,-0.00168202263123854+4.94626041202214e-05i,-0.0732218491048264+6.23281390915074e-05i,-0.0830082483165104+1.47973159227812e-05i,-0.10478687531567-7.67058521671011e-05i,-0.0635513960100255+7.89274739289084e-05i,-0.0918531857977442-6.44053534302366e-05i
-0.00567303505548008-4.18168914609097e-06i,-0.0105211952691298+2.92651647060689e-05i,-0.0132244049886851+3.03776386781763e-05i,-0.0280402477013985-9.22813632041607e-05i,-0.00463727709335896-2.22564620364974e-05i,-0.00404764075305744-5.08224492788885e-05i,-0.0346567434219247+6.66728898594029e-05i
-0.0118932695033221+4.41265720249946e-06i,0.0277123066521988+5.06624602017383e-05i,0.0217646434300146+6.76574259759702e-05i,0.00487248555091241-2.96210735128043e-07i,-0.00694682236504948-3.67922731427483e-05i,-0.00600210151310731-2.01624809557439e-05i,-0.0959455660428135-9.05868424159629e-06i
0.148590663912096+5.5222360160112e-05i,0.0306881453548739+6.08066084906313e-05i,0.0176925779735326+0.000106269704626969i,0.135133462982112+0.00013937130717466i,-0.104456994261212-3.48519236747609e-05i,-0.114376951581932+2.91973875193723e-05i,-0.0891849422491958-0.000121741809015566i
0.00414499978871823+1.582478431237e-05i,-0.0322913180856531+1.33271790708302e-05i,0.0384512954105269+2.41406327441645e-05i,0.0733118417358157+0.00013339028537403i,-0.0147837907542751-6.00404042493582e-06i,-0.039218494818639+2.80643541665103e-05i,-0.0458758841915225-8.73968245957702e-05i
0.00693017061002174+2.53917002343017e-06i,-0.0107668502590176-1.59054711698876e-05i,0.00272471766251481-1.93364150515448e-05i,-0.00519059637823023+4.24622059303501e-05i,-0.00421517802243011+1.09655812406417e-06i,-0.0241889959829607+5.15854764724172e-05i,0.0370049872455857-4.36899190920151e-05i
-0.114200865814756-4.16119716637483e-05i,0.0382274330676947-4.17258813087038e-05i,0.00492674415678295-8.20054221826544e-05i,-0.0958828259868023-9.10328795030333e-05i,0.095466881347003+2.00400512986973e-05i,0.0820760744236618-7.03530737181633e-06i,0.0794473868956403+7.90103125518003e-05i
