-12.8231295564691+1.23311546791574e-17i,0.0138325549400751-3.32863166576123e-15i,0.0138325549564495+2.12139623439305e-15i,0.013832554993213+2.0268386060233e-14i,0.013832554924992-6.84883568070289e-15i,0.013832554897002+1.41802910809996e-14i,0.0138325549585829-2.63355304663454e-14i
-0.126576727911465+6.42914326701058e-18i,-0.00360117799230189-3.50586208883645e-15i,-0.00360117799541047+2.30204781426118e-15i,-0.0036011779688664+9.51690418841112e-15i,-0.00360117798293507-3.16249637729081e-15i,-0.00360117804093788+8.30893605807438e-15i,-0.00360117801420852-1.34551791265526e-14i
0.00411309714117601+5.84624156273481e-19i,-0.00613333546149458-1.13427572275591e-15i,-0.00613333546427314+6.04752839344766e-16i,-0.00613333546269385+2.47594146056415e-15i,-0.00613333548973233-2.90102374407021e-16i,-0.00613333547080175+1.09892100588544e-15i,-0.00613333545619388-2.77341631371951e-15i
-0.144875799793697+3.4450722450271e-18i,-0.00152607180723519-4.96481367967685e-15i,-0.00152607179502699+1.09137803847132e-15i,-0.00152607174476843+1.71176471659735e-14i,-0.0015260718206541-4.1472911912731e-15i,-0.0015260718035336+1.19396483098129e-14i,-0.00152607179158337-2.10342718724249e-14i
0.304018761530075+1.61137809996031e-17i,-0.0169674851046082+6.68152751182977e-15i,-0.016967485124145+2.20104307098115e-15i,-0.0169674851807275-4.58471899156695e-14i,-0.0169674850232797+1.05596526392598e-14i,-0.0169674851007309-2.57632557991458e-14i,-0.0169674851524819+5.21479932643754e-14i
0.0293483073557647+8.17114560784767e-18i,-0.00588148763855323+6.15510367272308e-15i,-0.00588148764950364-1.26047178513712e-15i,-0.00588148768777125-2.51617858668832e-14i,-0.00588148762495916+7.53087042316151e-15i,-0.00588148765807384-1.76257674818919e-14i,-0.00588148765083751+3.03555416033397e-14i
-0.0389190570642334+5.16721895855648e-18i,-0.0137364032876356+4.24813729912226e-15i,-0.0137364032974061+1.34087060031702e-16i,-0.0137364033119762-1.93237598138702e-14i,-0.0137364032634519+3.31081007092765e-15i,-0.013736403333344-1.11252524307195e-14i,-0.0137364032890384+2.27211795712813e-14i
0.503302496892278-5.32467480036031e-18i,-0.0623961747039488+1.24944967341033e-15i,-0.0623961747032067-9.05384163983482e-16i,-0.0623961747209463-1.30060124612235e-14i,-0.0623961746815929+3.07477217382922e-15i,-0.0623961746726081-7.10827312701303e-15i,-0.0623961747095763+1.64635804359622e-14i
0.060010309809683-1.01369932295802e-17i,-0.0145041513426687-2.69535904959632e-15i,-0.0145041513459639+1.11090801697679e-15i,-0.0145041513233912+1.57475023176175e-14i,-0.0145041513621297-2.87427117445201e-15i,-0.0145041513566087+1.21812756915257e-14i,-0.0145041513505171-2.35570816350383e-14i
0.0309811820400202+2.30226154399601e-18i,0.00159559108882028-2.88136459744667e-15i,0.00159559108463707+1.324666698834e-15i,0.00159559110506221+9.76667860223419e-15i,0.0015955910756103-1.37951665779088e-15i,0.00159559108430163+6.46247866968154e-15i,0.00159559107232629-1.3276404385618e-14i
-0.473275680311096+3.60302463205565e-18i,0.0483391266466984-3.41653495862719e-15i,0.0483391266669169+2.6424944310628e-15i,0.0483391267020572+1.76672624748816e-14i,0.0483391266368933-5.48180860133563e-15i,0.048339126641856+1.28077486331397e-14i,0.0483391266785382-2.40335119394292e-14i
